"﻿Session start","Question 1","Question 2","Question 3","Question 4","Question 5","Question 6","Question 7","Question 8","Question 9","Question 10","Session end","Session source"
"2019-06-21 19:47",1,5,4,4,3,3,1,2,3,6,"2019-06-24 12:36",kiosk
"2019-06-25 13:29",1,4,4,3,4,3,1,2,4,1,"2019-06-25 13:30",kiosk
"2019-06-26 15:06",1,5,5,5,5,5,2,3,1,,"2019-06-26 15:07",kiosk
"2019-06-26 15:06",,,,,,,,,,,"2019-06-26 15:08",kiosk
"2019-06-26 15:15",1,5,5,5,5,5,1,2,2,3,"2019-06-26 15:16",kiosk
"2019-06-26 18:25",,,,,,,,,,,"2019-06-26 18:25",kiosk
"2019-06-26 19:58",1,5,5,5,2,4,1,2,3,6,"2019-06-26 19:59",kiosk
"2019-06-26 20:22",1,5,4,5,5,2,2,2,3,3,"2019-06-26 20:23",kiosk
"2019-06-26 21:35",1,5,4,4,4,4,1,2,3,3,"2019-06-26 21:36",kiosk
"2019-06-26 21:35",1,5,4,4,4,4,1,2,3,3,"2019-06-27 01:45",kiosk
"2019-07-09 16:20",,,,,,,,,,,"2019-07-09 16:21",kiosk
"2019-07-09 16:20",,,,,,,,,,,"2019-07-09 16:26",kiosk
"2019-07-09 20:56",,,,,,,,,,,"2019-07-09 20:58",kiosk
"2019-07-09 22:46",1,5,5,5,5,5,2,2,1,3,"2019-07-09 22:47",kiosk
"2019-07-09 22:46",1,5,5,5,4,5,2,2,2,4,"2019-07-09 22:48",kiosk
"2019-07-09 22:59",1,4,4,4,4,5,1,2,2,6,"2019-07-09 23:00",kiosk
"2019-07-09 23:42",1,4,4,4,3,4,1,2,3,5,"2019-07-09 23:43",kiosk
"2019-07-09 22:46",1,5,5,5,5,5,2,2,1,3,"2019-07-09 23:48",kiosk
"2019-07-09 23:48",1,5,5,5,5,4,1,3,3,4,"2019-07-09 23:48",kiosk
"2019-07-09 23:51",1,4,4,4,4,4,1,3,1,6,"2019-07-09 23:53",kiosk
"2019-07-09 23:48",1,5,5,5,5,4,1,3,3,4,"2019-07-10 00:22",kiosk
"2019-07-10 00:26",1,4,4,4,2,4,1,2,2,6,"2019-07-10 00:27",kiosk
"2019-07-10 02:46",1,4,4,4,3,4,1,3,4,6,"2019-07-10 02:47",kiosk
"2019-07-10 02:48",1,4,4,4,4,3,2,2,3,3,"2019-07-10 02:49",kiosk
"2019-07-10 02:48",1,2,2,4,2,4,2,2,2,6,"2019-07-10 02:49",kiosk
"2019-07-10 02:49",1,4,4,4,3,4,1,2,2,6,"2019-07-10 02:50",kiosk
"2019-07-10 09:37",1,,,,,,,,,,"2019-07-10 09:40",kiosk
"2019-07-10 22:29",1,3,4,4,4,1,1,2,4,3,"2019-07-10 22:29",kiosk
"2019-07-10 22:29",1,5,5,5,5,2,1,2,4,4,"2019-07-10 22:30",kiosk
"2019-07-10 22:32",1,3,4,4,3,2,1,2,1,3,"2019-07-10 22:34",kiosk
"2019-07-10 22:32",1,3,3,4,4,1,1,2,3,3,"2019-07-10 22:34",kiosk
"2019-07-10 22:57",1,3,4,4,2,3,1,3,2,3,"2019-07-10 22:58",kiosk
"2019-07-10 23:02",1,4,4,4,3,4,2,2,4,6,"2019-07-10 23:03",kiosk
"2019-07-10 23:02",1,4,4,4,3,4,1,2,2,6,"2019-07-10 23:03",kiosk
"2019-07-10 23:08",1,4,3,5,3,3,1,1,4,2,"2019-07-10 23:10",kiosk
"2019-07-10 23:09",1,4,4,4,3,4,2,2,4,2,"2019-07-10 23:10",kiosk
