Session start,Question 1,Question 2,Question 3,Question 4,Question 5,Question 6,Question 7,Question 8,Question 9,Session end,Session source
2019-06-09 10:56,3,2,3,3,2,3,2,2,2,2019-06-09 10:57,kiosk
2019-06-09 10:56,3,1,3,2,3,1,1,3,2,2019-06-09 10:58,kiosk
2019-06-09 11:02,4,2,4,2,2,2,1,3,2,2019-06-09 11:04,kiosk
2019-06-09 11:37,4,2,4,3,3,2,3,3,3,2019-06-09 11:39,kiosk
2019-06-09 11:37,4,2,4,3,3,2,3,3,3,2019-06-09 11:41,kiosk
2019-06-09 11:47,3,2,1,1,1,3,4,1,4,2019-06-09 11:54,kiosk
2019-06-09 11:55,,,,,,,,,,2019-06-09 11:56,kiosk
2019-06-09 11:58,2,2,,,,,,,,2019-06-09 11:59,kiosk
2019-06-09 14:42,3,2,3,2,4,2,2,2,2,2019-06-09 14:44,kiosk
2019-06-09 16:11,3,1,3,2,2,3,4,1,2,2019-06-09 16:12,kiosk
2019-06-09 16:11,2,2,4,2,2,1,3,2,3,2019-06-09 16:13,kiosk
2019-06-09 16:11,2,2,4,2,2,1,3,2,3,2019-06-09 17:23,kiosk
2019-06-09 16:11,2,2,4,2,2,1,3,2,3,2019-06-09 18:38,kiosk
2019-06-09 19:16,,,,,,,,,,2019-06-09 19:18,kiosk
2019-06-10 05:19,3,1,2,2,1,3,2,1,4,2019-06-10 05:22,kiosk
2019-06-10 06:44,3,2,3,4,3,2,2,3,4,2019-06-10 06:45,kiosk
2019-06-10 08:10,2,3,3,3,4,2,2,2,3,2019-06-10 08:12,kiosk
2019-06-10 09:43,2,2,3,2,2,1,3,2,3,2019-06-10 09:44,kiosk
2019-06-10 10:42,4,2,3,1,2,3,2,2,1,2019-06-10 10:43,kiosk
2019-06-10 10:42,4,3,4,4,3,3,2,3,2,2019-06-10 10:43,kiosk
2019-06-10 10:42,4,3,4,4,3,3,2,3,2,2019-06-10 10:46,kiosk
2019-06-10 11:33,3,2,4,3,1,2,3,1,3,2019-06-10 11:36,kiosk
2019-06-10 12:20,4,2,4,3,2,2,2,4,3,2019-06-10 12:22,kiosk
2019-06-10 12:23,3,2,3,4,4,1,3,4,4,2019-06-10 12:25,kiosk
2019-06-10 12:24,3,2,3,2,2,3,3,1,4,2019-06-10 12:26,kiosk
2019-06-10 12:26,,,,,,,,,,2019-06-10 12:29,kiosk
2019-06-10 12:36,2,1,2,2,2,3,3,1,4,2019-06-10 12:37,kiosk
2019-06-10 13:07,3,1,3,2,4,4,2,2,4,2019-06-10 13:09,kiosk
2019-06-10 13:07,3,1,3,1,1,3,2,2,4,2019-06-10 13:10,kiosk
2019-06-10 13:38,4,2,2,2,1,4,3,3,3,2019-06-10 13:39,kiosk
2019-06-10 13:38,4,2,3,2,4,2,2,3,3,2019-06-10 13:39,kiosk
2019-06-10 14:31,3,1,3,1,1,3,3,2,4,2019-06-10 14:32,kiosk
2019-06-10 16:08,,,,,,,,,,2019-06-10 16:08,kiosk
2019-06-10 16:26,3,2,3,2,1,2,2,2,3,2019-06-10 16:27,kiosk
2019-06-10 16:26,3,2,3,3,2,2,3,3,2,2019-06-10 16:27,kiosk
